year,n_ipos,mean_fdr_ew,median_fdr,n_tech,n_nontech,fdr_tech,fdr_nontech,agg_left_on_table_b,agg_proceeds_b,pct_neg_fdr,mkt_val_at_close_b,avg_1yr_return,avg_3yr_bhr_from_close,3yr_mkt_adj,3yr_style_adj,implied_3yr_bhr_from_offer
1980,71,0.143,0.069,22,49,0.217,0.109,0.18,0.91,0.310,5.88,0.287,0.898,0.370,0.185,
1981,192,0.059,0.003,72,120,0.070,0.052,0.13,2.31,0.208,10.71,-0.105,0.123,-0.270,0.110,
1982,77,0.110,0.037,42,35,0.136,0.079,0.13,1.00,0.169,5.11,1.018,0.375,-0.315,-0.120,
1983,451,0.099,0.025,173,278,0.139,0.075,0.84,8.89,0.182,41.35,-0.192,0.159,-0.377,-0.044,
1984,171,0.037,0.000,50,121,0.055,0.029,0.05,2.02,0.257,8.76,0.200,0.502,-0.285,0.290,
1985,186,0.064,0.028,37,149,0.061,0.065,0.23,4.09,0.183,15.18,0.236,0.056,-0.413,-0.123,
1986,393,0.061,0.011,77,316,0.072,0.059,0.68,13.40,0.282,46.77,0.095,0.169,-0.226,-0.013,
1987,285,0.056,0.013,59,226,0.073,0.052,0.66,11.68,0.193,45.59,-0.215,-0.026,-0.191,-0.112,
1988,105,0.055,0.023,28,77,0.055,0.055,0.13,3.88,0.181,21.65,0.287,0.580,0.097,0.387,
1989,116,0.080,0.040,35,81,0.119,0.063,0.27,5.81,0.121,22.37,-0.055,0.481,0.132,0.072,
1990,110,0.108,0.056,32,78,0.149,0.091,0.34,4.24,0.136,17.79,0.040,0.097,-0.359,-0.384,
1991,286,0.119,0.075,71,215,0.173,0.101,1.50,15.39,0.094,54.06,0.105,0.312,-0.018,0.058,
1992,412,0.103,0.044,115,297,0.144,0.087,1.82,22.69,0.138,74.35,0.205,0.374,-0.002,0.111,
1993,510,0.127,0.063,127,383,0.178,0.111,3.52,31.44,0.094,126.00,0.030,0.441,-0.087,-0.095,
1994,402,0.096,0.042,115,287,0.141,0.078,1.43,17.18,0.075,64.00,0.278,0.780,-0.057,-0.009,
1995,462,0.214,0.132,205,257,0.308,0.140,4.90,27.93,0.069,127.00,0.265,0.286,-0.580,-0.247,
1996,677,0.172,0.100,276,401,0.202,0.152,6.76,42.05,0.087,215.00,0.071,0.252,-0.568,0.070,
1997,474,0.140,0.094,174,300,0.169,0.124,4.56,31.76,0.072,141.00,0.080,0.583,-0.020,0.220,
1998,283,0.219,0.089,113,170,0.391,0.103,5.25,33.66,0.120,164.00,0.184,0.229,0.051,-0.049,
1999,476,0.712,0.375,370,106,0.867,0.172,37.11,64.67,0.118,652.00,0.221,-0.476,-0.325,-0.606,-0.103
2000,380,0.563,0.279,261,119,0.692,0.281,29.68,64.80,0.118,642.00,-0.529,-0.601,-0.309,-0.569,-0.376
2001,80,0.140,0.102,24,56,0.227,0.103,2.97,35.29,0.125,177.00,-0.143,0.180,0.146,-0.278,0.055
2002,66,0.091,0.082,20,46,0.086,0.093,1.13,22.03,0.152,84.00,0.031,0.686,0.390,-0.004,
